Account Manager,Rep Name,Account Number,Subscription Date,Region,OEM,OEM Type,CSAT
58-8364238,Ariya Almond,3678-MNGZX,2/9/2017,Rhode Island,AlphaZap,Media Player,1
17-1938812,Ariya Almond,4063-EIKNQ,5/24/2017,Rhode Island,AlphaZap,Media Player,2
75-8051982,Ariya Almond,6993-YCOBK,7/15/2017,Rhode Island,AlphaZap,Media Player,1
13-8653221,Ariya Almond,0748-RDGGM,2/20/2018,Rhode Island,AlphaZap,Media Player,1
98-3691700,Ariya Almond,6036-TTFYU,3/13/2017,Rhode Island,AlphaZap,Media Player,1
75-8051982,Ariya Almond,2550-AEVRU,4/19/2017,Rhode Island,AlphaZap,Media Player,3
51-3249481,Ariya Almond,0969-RGKCU,1/12/2017,Rhode Island,AlphaZap,Media Player,1
61-8597757,Ariya Almond,0378-CJKPV,12/19/2016,Rhode Island,AlphaZap,Media Player,3
42-2956742,Ariya Almond,5889-JTMUL,6/8/2018,Rhode Island,AlphaZap,Media Player,2
77-4912526,Ariya Almond,3746-EUBYR,8/3/2018,Rhode Island,AlphaZap,Media Player,1
69-0108929,Ariya Almond,2880-FPNAE,3/28/2017,Rhode Island,AlphaZap,Media Player,1
10-8807007,Ariya Almond,3612-YUNGG,6/27/2017,Rhode Island,AlphaZap,Media Player,3
58-8364238,Ariya Almond,5062-CJJKH,7/2/2017,Rhode Island,AlphaZap,Media Player,3
85-3745646,Ariya Almond,9028-LIHRP,5/22/2017,Rhode Island,AlphaZap,Media Player,2
73-9095501,Ariya Almond,1053-MXTTK,12/27/2016,Rhode Island,AlphaZap,Media Player,3
75-8051982,Ariya Almond,1530-ZTDOZ,11/30/2016,Rhode Island,AlphaZap,Media Player,2
10-4398098,Ariya Almond,1301-LOPVR,7/21/2017,Rhode Island,AlphaZap,Media Player,2
83-8467671,Ariya Almond,0853-TWRVK,2/9/2017,Rhode Island,AlphaZap,Media Player,3
16-0420024,Ariya Almond,8914-RBTSB,12/14/2017,Rhode Island,AlphaZap,Media Player,2
69-0108929,Ariya Almond,8200-LGKSR,5/28/2017,Rhode Island,AlphaZap,Media Player,3
20-9329110,Ariya Almond,1568-BEKZM,8/9/2017,Rhode Island,AlphaZap,Media Player,2
25-9781941,Ariya Almond,6897-RWMUB,3/9/2017,Rhode Island,AlphaZap,Media Player,3
51-3249481,Ariya Almond,0895-LNKRC,6/16/2017,Rhode Island,AlphaZap,Media Player,1
13-8653221,Ariya Almond,8417-GSODA,4/26/2017,Rhode Island,AlphaZap,Media Player,2
73-9095501,Ariya Almond,1670-SVOWZ,5/21/2017,Rhode Island,AlphaZap,Media Player,1
17-1938812,Ariya Almond,6696-YDAYZ,4/12/2017,Rhode Island,AlphaZap,Media Player,1
57-1199545,Ariya Almond,6506-EYCNH,7/11/2017,Rhode Island,AlphaZap,Media Player,3
77-4912526,Ariya Almond,2560-QTSBS,4/29/2017,Rhode Island,AlphaZap,Media Player,2
24-5250647,Ariya Almond,6080-TCMYC,8/17/2017,Rhode Island,AlphaZap,Media Player,2
82-7808716,Ariya Almond,7860-UXCRM,6/14/2017,Rhode Island,AlphaZap,Media Player,2
82-7808716,Ariya Almond,2292-XQWSV,1/10/2017,Rhode Island,Pyxis,PC Manufacturer,1
10-8807007,Ariya Almond,9552-TGUZV,1/21/2017,Rhode Island,Pyxis,PC Manufacturer,1
42-3903575,Ariya Almond,5913-INRQV,6/16/2017,Rhode Island,Pyxis,PC Manufacturer,1
75-8051982,Ariya Almond,9643-YBLUR,4/1/2017,Rhode Island,Pyxis,PC Manufacturer,2
13-8653221,Ariya Almond,8734-FNWVH,12/9/2016,Rhode Island,Pyxis,PC Manufacturer,3
87-5056698,Ariya Almond,9447-YPTBX,6/6/2017,Rhode Island,Pyxis,PC Manufacturer,1
50-8904668,Ariya Almond,7011-CVEUC,12/25/2016,Rhode Island,Pyxis,PC Manufacturer,1
50-8904668,Ariya Almond,7925-PNRGI,1/4/2017,Rhode Island,Pyxis,PC Manufacturer,3
16-0420024,Ariya Almond,8623-TMRBY,6/17/2018,Rhode Island,Pyxis,PC Manufacturer,2
86-3601877,Ariya Almond,1552-CZCLL,12/29/2016,Rhode Island,Pyxis,PC Manufacturer,1
51-3249481,Ariya Almond,9313-CDOGY,2/11/2017,Rhode Island,Pyxis,PC Manufacturer,3
52-1146363,Ariya Almond,2623-DRYAM,12/26/2016,Rhode Island,Pyxis,PC Manufacturer,2
76-0195839,Ariya Almond,8039-EQPIM,3/11/2017,Rhode Island,Pyxis,PC Manufacturer,1
78-8973798,Ariya Almond,6900-PXRMS,4/13/2018,Rhode Island,Pyxis,PC Manufacturer,3
83-8467671,Ariya Almond,8707-RMEZH,7/19/2017,Rhode Island,Pyxis,PC Manufacturer,1
47-2963605,Ariya Almond,3346-BRMIS,5/21/2017,Rhode Island,Pyxis,PC Manufacturer,1
17-1938812,Ariya Almond,3209-ZPKFI,3/10/2017,Rhode Island,Pyxis,PC Manufacturer,1
76-0195839,Ariya Almond,6479-VDGRK,8/7/2017,Rhode Island,Pyxis,PC Manufacturer,1
75-8051982,Ariya Almond,9373-WSLOY,8/3/2017,Rhode Island,Pyxis,PC Manufacturer,1
10-8807007,Ariya Almond,2933-FILNV,2/23/2018,Rhode Island,Pyxis,PC Manufacturer,3
24-5250647,Ariya Almond,3569-JFODW,3/6/2017,Rhode Island,Pyxis,PC Manufacturer,1
69-0108929,Ariya Almond,9819-FBNSV,8/14/2017,Rhode Island,Pyxis,PC Manufacturer,3
78-8973798,Ariya Almond,9544-PYPSJ,4/9/2017,Rhode Island,Pyxis,PC Manufacturer,2
69-0108929,Ariya Almond,1591-XWLGB,12/16/2016,Rhode Island,Pyxis,PC Manufacturer,2
86-3601877,Ariya Almond,7527-QNRUS,3/7/2017,Rhode Island,Pyxis,PC Manufacturer,2
24-5250647,Ariya Almond,2722-JMONI,3/12/2018,Rhode Island,Pyxis,PC Manufacturer,2
17-1938812,Ariya Almond,2203-GHNWN,7/8/2017,Rhode Island,Pyxis,PC Manufacturer,1
16-0420024,Ariya Almond,5296-PSYVW,8/1/2017,Rhode Island,Pyxis,PC Manufacturer,3
78-8973798,Ariya Almond,7579-OOPEC,3/18/2018,Rhode Island,Pyxis,PC Manufacturer,2
61-8597757,Ariya Almond,0512-FLFDW,8/21/2017,Rhode Island,Pyxis,PC Manufacturer,3
86-3601877,Ariya Almond,1771-OADNZ,6/28/2017,Rhode Island,Pyxis,PC Manufacturer,3
98-3691700,Ariya Almond,9451-WLYRI,7/25/2017,Rhode Island,Pyxis,PC Manufacturer,3
83-8467671,Ariya Almond,9419-IPPBE,6/13/2017,Rhode Island,Pyxis,PC Manufacturer,3
51-3249481,Ariya Almond,0174-QRVVY,8/18/2017,Rhode Island,Pyxis,PC Manufacturer,1
57-1199545,Ariya Almond,2900-PHPLN,5/26/2017,Rhode Island,Pyxis,PC Manufacturer,3
16-0420024,Ariya Almond,8106-GWQOK,1/23/2017,Rhode Island,Pyxis,PC Manufacturer,1
13-8653221,Ariya Almond,8751-EDEKA,8/8/2017,Rhode Island,Pyxis,PC Manufacturer,3
78-8973798,Ariya Almond,6878-GGDWG,2/6/2017,Rhode Island,Pyxis,PC Manufacturer,3
16-0420024,Ariya Almond,4039-PIMHX,12/15/2016,Rhode Island,Pyxis,PC Manufacturer,2
77-4912526,Ariya Almond,8450-LUGUK,2/16/2017,Rhode Island,Pyxis,PC Manufacturer,1
57-1199545,Ariya Almond,0795-GMVQO,2/6/2017,Rhode Island,Pyxis,PC Manufacturer,2
42-2956742,Ariya Almond,1545-JFUML,3/1/2017,Rhode Island,Pyxis,PC Manufacturer,3
24-5250647,Ariya Almond,3194-ORPIK,7/28/2018,Rhode Island,Pyxis,PC Manufacturer,3
20-9329110,Ariya Almond,7826-VVKWT,4/25/2017,Rhode Island,Pyxis,PC Manufacturer,2
20-9329110,Ariya Almond,1353-GHZOS,5/26/2017,Rhode Island,Pyxis,PC Manufacturer,1
87-5056698,Ariya Almond,5442-BXVND,1/29/2017,Rhode Island,Pyxis,PC Manufacturer,3
87-5056698,Ariya Almond,9378-FXTIZ,2/12/2018,Rhode Island,Pyxis,PC Manufacturer,1
82-7808716,Ariya Almond,6473-ULUHT,12/4/2016,Rhode Island,Pyxis,PC Manufacturer,3
10-8807007,Ariya Almond,0836-SEYLU,3/15/2018,Rhode Island,Pyxis,PC Manufacturer,3
85-3745646,Ariya Almond,4433-JCGCG,4/20/2018,Rhode Island,Pyxis,PC Manufacturer,2
16-0420024,Ariya Almond,7688-AWMDX,1/29/2017,Rhode Island,Pyxis,PC Manufacturer,1
85-3745646,Ariya Almond,7244-QWYHG,3/3/2017,Rhode Island,Pyxis,PC Manufacturer,1
51-3249481,Ariya Almond,6849-OYAMU,12/11/2017,Rhode Island,Pyxis,PC Manufacturer,2
77-4912526,Ariya Almond,2150-WLKUW,5/22/2017,Rhode Island,Pyxis,PC Manufacturer,3
85-3745646,Ariya Almond,7159-FVYPK,12/25/2016,Rhode Island,Pyxis,PC Manufacturer,1
98-3691700,Ariya Almond,1150-WFARN,5/18/2018,Rhode Island,Pyxis,PC Manufacturer,2
25-9781941,Ariya Almond,6088-BXMRG,12/17/2016,Rhode Island,Pyxis,PC Manufacturer,1
75-8051982,Ariya Almond,3144-AUDBS,3/24/2018,Rhode Island,Pyxis,PC Manufacturer,2
42-2956742,Ariya Almond,4821-SJHJV,6/26/2017,Rhode Island,Pyxis,PC Manufacturer,1
57-1199545,Ariya Almond,1137-DGOWI,4/13/2017,Rhode Island,Pyxis,PC Manufacturer,3
50-8904668,Ariya Almond,3812-LRZIR,4/17/2017,Rhode Island,Pyxis,PC Manufacturer,3
78-8973798,Ariya Almond,4227-OJHAL,5/12/2017,Rhode Island,Pyxis,PC Manufacturer,3
52-1146363,Ariya Almond,9220-CXRSC,6/25/2017,Rhode Island,Pyxis,PC Manufacturer,1
98-3691700,Ariya Almond,9537-JALFH,7/24/2017,Rhode Island,Pyxis,PC Manufacturer,3
61-8597757,Ariya Almond,3724-BSCVH,2/25/2017,Rhode Island,Pyxis,PC Manufacturer,1
47-2963605,Ariya Almond,4877-TSOFF,5/1/2017,Rhode Island,Pyxis,PC Manufacturer,2
20-9329110,Ariya Almond,6961-VCPMC,7/24/2018,Rhode Island,Pyxis,PC Manufacturer,2
13-8653221,Ariya Almond,7306-YDSOI,1/21/2017,Rhode Island,Pyxis,PC Manufacturer,3
76-0195839,Ariya Almond,6688-UZPWD,3/6/2018,Rhode Island,Pyxis,PC Manufacturer,3
25-9781941,Ariya Almond,8468-EHYJA,3/16/2017,Rhode Island,Pyxis,PC Manufacturer,1
10-4398098,Ariya Almond,7010-ZMVBF,8/18/2017,Rhode Island,Pyxis,PC Manufacturer,3
25-9781941,Ariya Almond,5201-CBWYG,7/22/2017,Rhode Island,Pyxis,PC Manufacturer,3
13-8653221,Ariya Almond,6771-XWBDM,11/20/2017,Rhode Island,Pyxis,PC Manufacturer,1
85-3745646,Ariya Almond,3082-YVEKW,12/4/2016,Rhode Island,Pyxis,PC Manufacturer,2
87-5056698,Ariya Almond,3489-HHPFY,7/23/2017,Rhode Island,Pyxis,PC Manufacturer,2
69-0108929,Ariya Almond,0508-OOLTO,5/16/2017,Rhode Island,Pyxis,PC Manufacturer,2
73-9095501,Ariya Almond,2984-TBYKU,3/11/2017,Rhode Island,Pyxis,PC Manufacturer,3
58-8364238,Ariya Almond,4806-HIPDW,7/21/2017,Rhode Island,Pyxis,PC Manufacturer,3
42-3903575,Ariya Almond,1548-ARAGG,7/7/2017,Rhode Island,Pyxis,PC Manufacturer,3
73-9095501,Ariya Almond,4415-WNGVR,4/14/2017,Rhode Island,Pyxis,PC Manufacturer,1
10-8807007,Ariya Almond,2522-AHJXR,12/10/2016,Rhode Island,Pyxis,PC Manufacturer,1
61-8597757,Ariya Almond,9385-NXKDA,5/27/2017,Rhode Island,Pyxis,PC Manufacturer,3
66-9184652,Ariya Almond,2959-MJHIC,12/17/2017,Rhode Island,Pyxis,PC Manufacturer,2
82-7808716,Ariya Almond,9351-HXDMR,11/24/2016,Rhode Island,Pyxis,PC Manufacturer,2
10-8807007,Ariya Almond,3537-HPKQT,4/21/2017,Rhode Island,Pyxis,PC Manufacturer,1
42-3903575,Ariya Almond,2129-ALKBS,4/4/2017,Rhode Island,Pyxis,PC Manufacturer,2
82-7808716,Ariya Almond,5821-MMEIL,5/15/2017,Rhode Island,Pyxis,PC Manufacturer,1
86-3601877,Ariya Almond,0684-AOSIH,4/12/2017,Rhode Island,Pyxis,PC Manufacturer,2
50-8904668,Ariya Almond,1309-XGFSN,5/18/2017,Rhode Island,Pyxis,PC Manufacturer,1
61-8597757,Ariya Almond,6968-URWQU,6/11/2017,Rhode Island,Pyxis,PC Manufacturer,1
83-8467671,Ariya Almond,4742-TXUEX,12/12/2016,Rhode Island,Pyxis,PC Manufacturer,1
78-8973798,Ariya Almond,8631-NBHFZ,5/7/2017,Rhode Island,Pyxis,PC Manufacturer,3
25-9781941,Ariya Almond,1335-MXCSE,12/4/2016,Rhode Island,Pyxis,PC Manufacturer,3
66-9184652,Ariya Almond,1469-LBJQJ,4/28/2017,Rhode Island,Pyxis,PC Manufacturer,2
86-3601877,Ariya Almond,8337-UPOAQ,6/12/2018,Rhode Island,Pyxis,PC Manufacturer,1
76-0195839,Ariya Almond,0064-YIJGF,8/9/2017,Rhode Island,Pyxis,PC Manufacturer,3
75-8051982,Ariya Almond,1725-IQNIY,1/5/2018,Rhode Island,Pyxis,PC Manufacturer,1
10-8807007,Ariya Almond,4280-DLSHD,6/13/2017,Rhode Island,Pyxis,PC Manufacturer,3
78-8973798,Ariya Almond,7868-BGSZA,12/22/2016,Rhode Island,Pyxis,PC Manufacturer,2
82-7808716,Ariya Almond,2533-QVMSK,5/15/2017,Rhode Island,Pyxis,PC Manufacturer,1
73-9095501,Ariya Almond,8625-AZYZY,8/19/2017,Rhode Island,Pyxis,PC Manufacturer,2
20-9329110,Ariya Almond,7785-RDVIG,5/2/2017,Rhode Island,Pyxis,PC Manufacturer,1
25-9781941,Ariya Almond,2903-YYTBW,5/12/2017,Rhode Island,Pyxis,PC Manufacturer,1
83-8467671,Ariya Almond,6837-HAEVO,6/28/2017,Rhode Island,Pyxis,PC Manufacturer,2
25-9781941,Ariya Almond,6701-YVNQG,7/3/2017,Rhode Island,Pyxis,PC Manufacturer,2
85-3745646,Ariya Almond,4304-XUMGI,6/27/2017,Rhode Island,Pyxis,PC Manufacturer,1
13-8653221,Ariya Almond,8819-ZBYNA,7/12/2017,Rhode Island,Pyxis,PC Manufacturer,1
58-8364238,Ariya Almond,9481-IEBZY,6/16/2017,Rhode Island,Pyxis,PC Manufacturer,1
98-3691700,Ariya Almond,6137-NICCO,3/19/2017,Rhode Island,Pyxis,PC Manufacturer,1
16-0420024,Ariya Almond,9065-ZCPQX,6/17/2017,Rhode Island,Pyxis,PC Manufacturer,1
73-9095501,Ariya Almond,3620-EHIMZ,7/29/2017,Rhode Island,Pyxis,PC Manufacturer,1
61-8597757,Ariya Almond,3213-VVOLG,3/31/2017,Rhode Island,Pyxis,PC Manufacturer,1
10-4398098,Ariya Almond,8747-UDCOI,2/25/2017,Rhode Island,Pyxis,PC Manufacturer,2
50-8904668,Ariya Almond,8374-XGEJJ,3/10/2018,Rhode Island,Pyxis,PC Manufacturer,1
77-4912526,Ariya Almond,2656-TABEH,1/16/2018,Rhode Island,Pyxis,PC Manufacturer,2
10-8807007,Ariya Almond,6946-LMSQS,2/10/2018,Rhode Island,Pyxis,PC Manufacturer,2
25-9781941,Ariya Almond,4626-OZDTJ,2/11/2017,Rhode Island,Pyxis,PC Manufacturer,2
42-2956742,Ariya Almond,2325-ZUSFD,7/25/2018,Rhode Island,Pyxis,PC Manufacturer,1
61-8597757,Ariya Almond,8194-PEEBY,1/11/2017,Rhode Island,Pyxis,PC Manufacturer,3
50-8904668,Ariya Almond,6872-HXFNF,12/9/2016,Rhode Island,Pyxis,PC Manufacturer,3
10-8807007,Ariya Almond,8387-UGUSU,4/10/2017,Rhode Island,Pyxis,PC Manufacturer,3
24-5250647,Ariya Almond,1080-BWSYE,4/13/2017,Rhode Island,Pyxis,PC Manufacturer,1
87-5056698,Ariya Almond,4039-HEUNW,5/15/2018,Rhode Island,Pyxis,PC Manufacturer,3
58-8364238,Ariya Almond,1194-HVAIF,8/14/2017,Rhode Island,Pyxis,PC Manufacturer,2
75-8051982,Ariya Almond,0812-WUPTB,5/2/2018,Rhode Island,Pyxis,PC Manufacturer,2
20-9329110,Ariya Almond,1767-TGTKO,8/16/2017,Rhode Island,Pyxis,PC Manufacturer,1
78-8973798,Ariya Almond,5089-IFSDP,1/19/2018,Rhode Island,Pyxis,PC Manufacturer,2
25-9781941,Ariya Almond,6418-HNFED,5/27/2017,Rhode Island,Pyxis,PC Manufacturer,3
20-9329110,Ariya Almond,0206-OYVOC,6/12/2017,Rhode Island,Pyxis,PC Manufacturer,1
75-8051982,Ariya Almond,0237-YFUTL,1/22/2017,Rhode Island,Pyxis,PC Manufacturer,3
51-3249481,Ariya Almond,7691-KGKGP,5/22/2017,Rhode Island,Pyxis,PC Manufacturer,2
57-1199545,Ariya Almond,6710-HSJRD,5/1/2017,Rhode Island,Pyxis,PC Manufacturer,2
77-4912526,Ariya Almond,5854-KSRBJ,3/23/2017,Rhode Island,Pyxis,PC Manufacturer,3
20-9329110,Ariya Almond,0365-BZUWY,7/25/2017,Rhode Island,Pyxis,PC Manufacturer,1
25-9781941,Ariya Almond,3129-AAQOU,7/25/2017,Rhode Island,Pyxis,PC Manufacturer,1
57-1199545,Ariya Almond,4922-CVPDX,7/15/2017,Rhode Island,Pyxis,PC Manufacturer,2
75-8051982,Ariya Almond,1396-QWFBJ,6/10/2018,Rhode Island,Pyxis,PC Manufacturer,1
24-5250647,Ariya Almond,1357-BIJKI,3/5/2017,Rhode Island,Pyxis,PC Manufacturer,1
98-3691700,Ariya Almond,1099-BTKWT,1/13/2017,Rhode Island,Pyxis,PC Manufacturer,1
24-5250647,Ariya Almond,2018-PZKMU,7/28/2017,Rhode Island,Pyxis,PC Manufacturer,2
24-5250647,Ariya Almond,7340-KEFQE,2/27/2017,Rhode Island,Pyxis,PC Manufacturer,2
75-8051982,Ariya Almond,2403-BCASL,7/25/2018,Rhode Island,Pyxis,PC Manufacturer,3
42-3903575,Ariya Almond,2898-LSJGD,6/24/2018,Rhode Island,Pyxis,PC Manufacturer,3
86-3601877,Ariya Almond,2223-GDSHL,1/2/2017,Rhode Island,Pyxis,PC Manufacturer,2
42-2956742,Ariya Almond,9470-RTWDV,8/18/2017,Rhode Island,Pyxis,PC Manufacturer,1
78-8973798,Ariya Almond,2176-OSJUV,12/15/2016,Rhode Island,Pyxis,PC Manufacturer,3
50-8904668,Ariya Almond,4521-YEEHE,8/15/2017,Rhode Island,Pyxis,PC Manufacturer,3
73-9095501,Ariya Almond,3786-WOVKF,7/16/2017,Rhode Island,Pyxis,PC Manufacturer,1
52-1146363,Ariya Almond,3886-CERTZ,12/23/2017,Rhode Island,Pyxis,PC Manufacturer,2
87-5056698,Ariya Almond,7995-ZHHNZ,6/1/2017,Rhode Island,Pyxis,PC Manufacturer,2
61-8597757,Ariya Almond,5989-AXPUC,5/19/2017,Rhode Island,Pyxis,PC Manufacturer,2
66-9184652,Ariya Almond,4979-HPRFL,7/16/2017,Rhode Island,Pyxis,PC Manufacturer,1
50-8904668,Ariya Almond,8590-OHDIW,4/15/2017,Rhode Island,Pyxis,PC Manufacturer,1
77-4912526,Ariya Almond,8015-IHCGW,3/1/2017,Rhode Island,Pyxis,PC Manufacturer,2
73-9095501,Ariya Almond,9278-VZKCD,12/12/2016,Rhode Island,Pyxis,PC Manufacturer,1
51-3249481,Ariya Almond,8008-OTEZX,3/27/2017,Rhode Island,Pyxis,PC Manufacturer,2
52-1146363,Ariya Almond,2773-OVBPK,12/27/2016,Rhode Island,Pyxis,PC Manufacturer,3
69-0108929,Ariya Almond,4803-LBYPN,5/22/2017,Rhode Island,Pyxis,PC Manufacturer,1
98-3691700,Ariya Almond,6372-RFVNS,12/2/2017,Rhode Island,Pyxis,PC Manufacturer,1
73-9095501,Ariya Almond,8261-GWDBQ,6/21/2017,Rhode Island,Pyxis,PC Manufacturer,1
51-3249481,Ariya Almond,3882-IYOIJ,2/27/2017,Rhode Island,Pyxis,PC Manufacturer,2
51-3249481,Ariya Almond,8749-TZYEC,2/11/2017,Rhode Island,Pyxis,PC Manufacturer,2
87-5056698,Ariya Almond,3115-JPJDD,4/6/2017,Rhode Island,Pyxis,PC Manufacturer,2
52-1146363,Ariya Almond,5600-KTXFM,6/25/2017,Rhode Island,Pyxis,PC Manufacturer,3
76-0195839,Ariya Almond,6319-IEJWJ,7/9/2018,Rhode Island,Pyxis,PC Manufacturer,3
82-7808716,Ariya Almond,7964-YESJC,4/7/2017,Rhode Island,Pyxis,PC Manufacturer,2
51-3249481,Ariya Almond,6173-GOLSU,2/12/2017,Rhode Island,Pyxis,PC Manufacturer,3
51-3249481,Ariya Almond,7716-YTYHG,1/1/2018,Rhode Island,Pyxis,PC Manufacturer,3
17-1938812,Ariya Almond,9938-ZREHM,3/9/2017,Rhode Island,Pyxis,PC Manufacturer,1
57-1199545,Ariya Almond,4390-KYULV,5/22/2018,Rhode Island,Pyxis,PC Manufacturer,2
69-0108929,Ariya Almond,4647-MUZON,1/27/2017,Rhode Island,Pyxis,PC Manufacturer,3
25-9781941,Ariya Almond,9702-AIUJO,4/27/2017,Rhode Island,Pyxis,PC Manufacturer,2
77-4912526,Ariya Almond,8849-PRIQJ,4/9/2017,Rhode Island,Pyxis,PC Manufacturer,1
69-0108929,Ariya Almond,8851-RAGOV,7/8/2017,Rhode Island,Pyxis,PC Manufacturer,1
24-5250647,Ariya Almond,8285-ABVLB,11/25/2016,Rhode Island,Pyxis,PC Manufacturer,2
82-7808716,Ariya Almond,4797-MIWUM,6/23/2017,Rhode Island,Pyxis,PC Manufacturer,3
58-8364238,Ariya Almond,4537-CIBHB,12/10/2016,Rhode Island,Pyxis,PC Manufacturer,3
77-4912526,Ariya Almond,4355-CVPVS,6/5/2017,Rhode Island,Pyxis,PC Manufacturer,1
87-5056698,Ariya Almond,5915-ANOEI,4/17/2017,Rhode Island,Pyxis,PC Manufacturer,2
13-8653221,Ariya Almond,7225-CBZPL,6/17/2017,Rhode Island,Pyxis,PC Manufacturer,3
75-8051982,Ariya Almond,6704-UTUKK,8/16/2017,Rhode Island,Pyxis,PC Manufacturer,2
76-0195839,Ariya Almond,4587-VVTOX,12/31/2017,Rhode Island,Pyxis,PC Manufacturer,1
76-0195839,Ariya Almond,2019-HDCZY,2/25/2017,Rhode Island,Pyxis,PC Manufacturer,1
75-8051982,Ariya Almond,4652-NNHNY,8/13/2018,Rhode Island,Pyxis,PC Manufacturer,2
42-2956742,Ariya Almond,8972-HJWNV,7/24/2018,Rhode Island,Pyxis,PC Manufacturer,3
51-3249481,Ariya Almond,2632-IVXVF,12/8/2016,Rhode Island,Pyxis,PC Manufacturer,1
42-2956742,Ariya Almond,3692-JHONH,2/9/2017,Rhode Island,Pyxis,PC Manufacturer,3
87-5056698,Ariya Almond,8915-NNTRC,12/1/2016,Rhode Island,Pyxis,PC Manufacturer,1
57-1199545,Ariya Almond,5914-GXMDA,7/16/2017,Rhode Island,Pyxis,PC Manufacturer,3
61-8597757,Ariya Almond,7463-IFMQU,2/9/2017,Rhode Island,Pyxis,PC Manufacturer,2
24-5250647,Ariya Almond,2920-RNCEZ,7/24/2017,Rhode Island,Pyxis,PC Manufacturer,1
57-1199545,Ariya Almond,2541-YGPKE,4/29/2017,Rhode Island,Pyxis,PC Manufacturer,3
13-8653221,Ariya Almond,3441-CGZJH,6/21/2017,Rhode Island,Pyxis,PC Manufacturer,1
10-8807007,Ariya Almond,9592-ERDKV,1/17/2017,Rhode Island,Pyxis,PC Manufacturer,3
10-4398098,Ariya Almond,4778-IZARL,6/18/2017,Rhode Island,Pyxis,PC Manufacturer,2
98-3691700,Ariya Almond,7008-LZVOZ,5/8/2017,Rhode Island,Pyxis,PC Manufacturer,1
66-9184652,Ariya Almond,5884-FBCTL,12/9/2016,Rhode Island,Pyxis,PC Manufacturer,1
47-2963605,Ariya Almond,7130-CTCUS,4/28/2017,Rhode Island,Pyxis,PC Manufacturer,2
25-9781941,Ariya Almond,6242-FEGFD,12/4/2016,Rhode Island,Pyxis,PC Manufacturer,2
10-8807007,Ariya Almond,0406-BPDVR,1/26/2018,Rhode Island,Pyxis,PC Manufacturer,2
10-4398098,Ariya Almond,6023-GSSXW,12/10/2016,Rhode Island,Pyxis,PC Manufacturer,3
52-1146363,Ariya Almond,6752-APNJL,3/20/2017,Rhode Island,Pyxis,PC Manufacturer,1
47-2963605,Ariya Almond,7446-KQISO,6/29/2017,Rhode Island,Pyxis,PC Manufacturer,1
17-1938812,Ariya Almond,9823-EALYC,6/23/2017,Rhode Island,Pyxis,PC Manufacturer,3
87-5056698,Ariya Almond,5803-NQJZO,5/14/2017,Rhode Island,Pyxis,PC Manufacturer,1
25-9781941,Ariya Almond,2607-DHDAK,7/20/2017,Rhode Island,Pyxis,PC Manufacturer,3
73-9095501,Ariya Almond,1073-XXCZD,6/26/2017,Rhode Island,Pyxis,PC Manufacturer,1
25-9781941,Ariya Almond,0743-HRVFF,6/20/2017,Rhode Island,Pyxis,PC Manufacturer,1
66-9184652,Ariya Almond,8143-ETQTI,3/21/2017,Rhode Island,Pyxis,PC Manufacturer,2
77-4912526,Ariya Almond,2969-WGHQO,4/4/2017,Rhode Island,Pyxis,PC Manufacturer,1
16-0420024,Ariya Almond,4334-HOWRP,6/7/2017,Rhode Island,Pyxis,PC Manufacturer,3
69-0108929,Ariya Almond,4255-DDUOU,4/22/2018,Rhode Island,Pyxis,PC Manufacturer,1
50-8904668,Ariya Almond,0266-GMEAO,7/3/2017,Rhode Island,Pyxis,PC Manufacturer,1
17-1938812,Ariya Almond,5590-YRFJT,1/27/2018,Rhode Island,Pyxis,PC Manufacturer,2
87-5056698,Ariya Almond,8309-PPCED,7/19/2017,Rhode Island,Pyxis,PC Manufacturer,1
10-4398098,Ariya Almond,4098-NAUKP,7/15/2017,Rhode Island,Pyxis,PC Manufacturer,1
73-9095501,Ariya Almond,5196-WPYOW,12/5/2016,Rhode Island,Pyxis,PC Manufacturer,2
83-8467671,Ariya Almond,4608-LCIMN,3/1/2017,Rhode Island,Pyxis,PC Manufacturer,1
86-3601877,Ariya Almond,1485-YDHMM,7/29/2017,Rhode Island,Pyxis,PC Manufacturer,1
78-8973798,Ariya Almond,4054-CUMIA,2/13/2017,Rhode Island,Pyxis,PC Manufacturer,1
58-8364238,Ariya Almond,0603-TPMIB,1/23/2017,Rhode Island,Pyxis,PC Manufacturer,3
16-0420024,Ariya Almond,9581-GVBXT,5/27/2017,Rhode Island,Pyxis,PC Manufacturer,2
77-4912526,Ariya Almond,3308-JSGML,1/31/2017,Rhode Island,Pyxis,PC Manufacturer,2
85-3745646,Ariya Almond,2126-GSEGL,2/27/2017,Rhode Island,Pyxis,PC Manufacturer,2
77-4912526,Ariya Almond,2434-EEVDB,7/20/2017,Rhode Island,Pyxis,PC Manufacturer,2
17-1938812,Ariya Almond,6762-QVYJO,4/27/2017,Rhode Island,Pyxis,PC Manufacturer,2
10-8807007,Ariya Almond,6199-IWKGC,6/30/2017,Rhode Island,Pyxis,PC Manufacturer,1
85-3745646,Ariya Almond,2675-DHUTR,3/22/2017,Rhode Island,Pyxis,PC Manufacturer,2
57-1199545,Ariya Almond,8152-VETUR,1/30/2017,Rhode Island,Pyxis,PC Manufacturer,3
77-4912526,Ariya Almond,7980-MHFLQ,8/18/2017,Rhode Island,Pyxis,PC Manufacturer,2
